"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 15-Jan-2020","30 D % CHNG 
 15-Dec-2020"
"NIFTY MIDCAP 100","22,212.00","22,297.15","21,721.15","22,169.40","21,934.25","-235.15","-1.06",2271406568,"156,478,931,614.15","22,504.60","10,749.95","21.36","5.20"
"IDEA","12.35","13.80","12.30","12.30","13.60","1.30","10.57",1224469545,"16,150,753,298.55","13.80","2.70","203.33","37.19"
"NAM-INDIA","313.90","341.20","312.05","312.80","332.00","19.20","6.14",8206204,"2,708,129,382.04","452.90","207.70","-","5.65"
"JSWENERGY","71.55","75.75","71.00","71.90","75.60","3.70","5.15",8958267,"664,165,915.38","76.00","34.75","11.27","9.72"
"IDFCFIRSTB","46.40","49.55","45.85","46.25","48.40","2.15","4.65",99486620,"4,771,378,295.20","49.55","17.65","11.38","29.55"
"SAIL","68.05","72.20","68.05","67.20","70.00","2.80","4.17",322964592,"22,688,262,588.00","80.30","20.15","37.68","21.89"
"APOLLOHOSP","2,520.00","2,613.70","2,510.10","2,512.00","2,590.00","78.00","3.11",1941813,"4,997,119,828.59","2,613.70","1,047.05","60.16","7.81"
"ABCAPITAL","92.20","94.65","90.70","91.55","93.80","2.25","2.46",7789711,"723,897,843.23","112.85","37.35","-15.26","3.72"
"GODREJAGRO","539.00","549.80","532.00","531.10","542.00","10.90","2.05",312813,"169,153,629.75","598.00","265.05","-3.52","-0.95"
"VGUARD","216.00","221.25","214.25","215.75","220.05","4.30","1.99",1230396,"268,607,750.76","233.95","149.00","-4.15","13.00"
"JINDALSTEL","295.00","304.00","293.20","293.65","298.95","5.30","1.80",12385982,"3,692,756,673.48","307.00","62.00","68.97","7.52"
"RECLTD","143.50","147.90","143.35","143.55","145.50","1.95","1.36",9143479,"1,334,673,629.63","156.50","78.75","3.12","5.55"
"COROMANDEL","816.55","836.90","814.35","822.40","830.00","7.60","0.92",536230,"444,073,512.20","880.90","443.20","41.84","3.54"
"OIL","117.35","118.35","115.30","117.15","118.00","0.85","0.73",1624922,"190,067,126.34","159.35","63.50","-25.06","2.93"
"GUJGASLTD","380.00","382.35","370.00","375.55","378.25","2.70","0.72",446281,"167,962,317.16","412.40","190.50","39.14","3.69"
"AUBANK","914.00","921.90","907.25","914.00","920.00","6.00","0.66",1411827,"1,294,377,111.87","1,218.00","366.00","4.84","-2.43"
"ASHOKLEY","118.80","121.50","117.30","119.10","119.25","0.15","0.13",33229308,"3,963,591,858.24","125.50","33.70","42.38","20.08"
"PIIND","2,240.00","2,298.00","2,219.05","2,239.35","2,239.00","-0.35","-0.02",297883,"672,307,036.85","2,650.00","970.10","55.68","-1.16"
"APLLTD","1,090.00","1,095.00","1,078.00","1,090.45","1,090.00","-0.45","-0.04",169466,"184,023,129.40","1,145.00","434.80","80.87","-3.42"
"CASTROLIND","131.80","131.80","128.60","131.05","130.95","-0.10","-0.08",1108864,"143,875,104.00","162.20","89.55","-5.91","2.00"
"INDHOTEL","127.75","127.75","125.05","127.30","127.05","-0.25","-0.20",771545,"97,384,409.90","147.75","62.10","-12.75","-2.35"
"ISEC","445.20","448.50","438.50","444.15","443.15","-1.00","-0.23",402686,"178,563,052.98","568.90","203.60","2.92","-2.92"
"NAVINFLUOR","2,598.00","2,604.40","2,530.00","2,578.40","2,569.00","-9.40","-0.36",95147,"244,153,862.29","2,850.00","977.00","136.86","-0.38"
"RBLBANK","254.00","259.75","251.55","254.20","253.25","-0.95","-0.37",13958474,"3,572,531,835.56","358.80","101.55","-26.15","7.22"
"TORNTPOWER","334.00","343.80","329.95","333.00","331.65","-1.35","-0.41",3509396,"1,186,632,069.48","368.90","231.95","6.07","1.75"
"TATAPOWER","86.40","88.00","84.35","85.95","85.60","-0.35","-0.41",35416980,"3,062,152,090.80","88.00","27.00","38.99","13.76"
"ATGL","360.50","368.00","357.35","361.10","359.30","-1.80","-0.50",1026453,"371,760,747.54","389.65","76.60","-","-"
"CHOLAFIN","427.10","430.05","417.40","426.15","423.85","-2.30","-0.54",2959135,"1,251,891,653.10","451.00","117.40","30.39","13.26"
"AARTIIND","1,266.00","1,270.00","1,248.00","1,265.15","1,258.00","-7.15","-0.57",167836,"211,211,535.84","1,365.90","668.00","46.15","3.19"
"GSPL","213.00","215.90","210.70","212.15","210.95","-1.20","-0.57",735801,"157,019,933.40","263.80","146.15","-13.67","-5.89"
"TATACHEM","539.80","539.95","521.20","535.95","532.30","-3.65","-0.68",6761899,"3,580,357,901.51","779.80","197.00","-28.56","8.12"
"WHIRLPOOL","2,450.00","2,469.90","2,382.95","2,435.40","2,416.65","-18.75","-0.77",49259,"119,431,401.04","2,674.70","1,343.80","-2.92","10.61"
"RAJESHEXPO","486.00","486.20","478.20","484.20","480.35","-3.85","-0.80",390436,"188,326,804.60","780.50","441.00","-32.41","-0.92"
"LICHSGFIN","434.95","439.00","425.70","433.35","429.70","-3.65","-0.84",5965720,"2,573,850,236.80","486.75","185.25","-7.71","14.12"
"AMARAJABAT","1,025.00","1,025.55","992.05","1,013.75","1,005.10","-8.65","-0.85",1022254,"1,028,162,628.12","1,025.55","348.55","28.82","7.30"
"PFIZER","5,155.40","5,174.40","5,103.00","5,157.40","5,112.00","-45.40","-0.88",41895,"214,726,957.20","5,900.00","3,461.00","26.37","-2.45"
"TVSMOTOR","512.90","515.25","498.30","513.00","508.15","-4.85","-0.95",1219504,"617,764,141.28","533.85","240.10","4.58","3.52"
"ENDURANCE","1,334.60","1,352.00","1,310.00","1,325.75","1,312.50","-13.25","-1.00",168542,"223,117,585.02","1,465.00","564.50","25.29","8.94"
"CESC","700.05","709.85","686.70","695.30","688.00","-7.30","-1.05",1363181,"953,885,904.75","783.55","365.25","-10.22","12.48"
"MANAPPURAM","171.00","172.60","167.60","171.20","169.40","-1.80","-1.05",6076889,"1,033,314,205.56","194.80","74.25","-7.09","-2.84"
"IBULHSGFIN","234.80","239.50","227.60","233.10","230.50","-2.60","-1.12",17923025,"4,183,950,956.00","361.00","81.00","-24.27","12.43"
"YESBANK","17.80","17.85","17.25","17.85","17.65","-0.20","-1.12",163516334,"2,879,522,641.74","87.30","5.65","-55.16","-3.56"
"FRETAIL","74.80","75.20","74.00","75.00","74.15","-0.85","-1.13",1243832,"92,702,798.96","382.30","60.70","-78.68","-5.95"
